1	240
5	6
7	6
7	106
7	107
7	110
8	9
10	11
12	13
14	15
16	17
18	17
18	114
19	17
21	22
22	77
23	24
25	26
25	27
25	28
25	29
25	30
25	31
32	33
33	136
34	33
34	35
34	36
39	40
42	117
45	46
45	47
46	45
47	45
48	49
50	49
50	51
50	52
50	53
50	54
55	56
56	55
58	59
60	61
60	311
62	63
64	65
65	64
65	66
65	67
65	68
66	65
66	161
69	70
71	72
75	76
77	75
81	7
82	83
82	178
82	179
82	180
82	181
93	94
95	7
96	97
97	110
101	167
102	5
102	7
102	103
102	104
104	110
105	5
105	7
105	103
105	104
106	7
108	7
109	104
111	65
111	103
112	62
112	113
112	118
112	165
112	166
112	255
114	115
114	116
114	310
119	118
119	177
127	161
130	155
133	134
133	135
136	137
136	139
136	140
138	139
138	140
141	142
141	143
144	145
146	147
148	94
149	94
150	94
151	94
152	153
152	154
156	114
157	62
157	157
157	158
157	281
160	161
161	97
162	161
163	77
163	164
168	167
171	77
172	159
172	173
172	174
174	77
208	159
209	210
211	70
211	212
211	213
211	214
215	216
216	216
217	216
221	222
230	231
230	232
230	233
234	230
234	235
234	236
237	104
237	238
239	240
241	240
249	213
249	214
250	5
250	251
252	233
254	214
264	265
272	62
272	157
272	281
273	77
274	77
275	77
276	77
277	77
278	279
280	267
282	310
284	157
284	272
284	285
286	103
287	136
288	289
290	289
291	289
294	295
298	299
300	301
304	305
306	307
308	282
309	94
309	97
309	310
312	313
314	313
315	316
317	316
318	86
318	131
318	319
318	320
318	321
318	322
324	325
